                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   0.22,                0.99455,                      1,                 0.5581,             0.00023721,             0.00023721,             0.00023721
                      2,                0.07519,                      1,                      1,                0.55221,             0.00023998,             0.00023998,             0.00023998
