                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01572,                      1,                      1,                0.55183,             0.00023721,             0.00023721,             0.00023721
                      2,                0.00676,                      1,                      1,                0.55146,             0.00023998,             0.00023998,             0.00023998
